date,geography,geography code,Ethnic group: Total: All usual residents,"Ethnic group: Asian, Asian British or Asian Welsh","Ethnic group: Asian, Asian British or Asian Welsh: Bangladeshi","Ethnic group: Asian, Asian British or Asian Welsh: Chinese","Ethnic group: Asian, Asian British or Asian Welsh: Indian","Ethnic group: Asian, Asian British or Asian Welsh: Pakistani","Ethnic group: Asian, Asian British or Asian Welsh: Other Asian","Ethnic group: Black, Black British, Black Welsh, Caribbean or African","Ethnic group: Black, Black British, Black Welsh, Caribbean or African: African","Ethnic group: Black, Black British, Black Welsh, Caribbean or African: Caribbean","Ethnic group: Black, Black British, Black Welsh, Caribbean or African: Other Black",Ethnic group: Mixed or Multiple ethnic groups,Ethnic group: Mixed or Multiple ethnic groups: White and Asian,Ethnic group: Mixed or Multiple ethnic groups: White and Black African,Ethnic group: Mixed or Multiple ethnic groups: White and Black Caribbean,Ethnic group: Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,Ethnic group: White,"Ethnic group: White: English, Welsh, Scottish, Northern Irish or British",Ethnic group: White: Irish,Ethnic group: White: Gypsy or Irish Traveller,Ethnic group: White: Roma,Ethnic group: White: Other White,Ethnic group: Other ethnic group,Ethnic group: Other ethnic group: Arab,Ethnic group: Other ethnic group: Any other ethnic group
2021,Cambridgeshire,E10000003,678849,39689,3898,9594,12824,3850,9523,9745,6631,1805,1309,19354,7039,2779,3693,5843,601166,524194,5685,1719,1474,68094,8895,1855,7040
2021,Cumbria,E10000006,499848,4908,446,1128,1194,357,1783,1195,866,238,91,4003,1488,590,796,1129,488027,474172,1669,368,249,11569,1715,461,1254
2021,Derbyshire,E10000007,794634,11670,234,1956,5621,1448,2411,4085,2030,1467,588,10851,3193,1225,4205,2228,765296,744378,3336,406,254,16922,2732,401,2331
2021,Devon,E10000008,811642,11845,980,3315,2854,499,4197,2474,1641,508,325,10967,4118,1395,2163,3291,782455,751816,3889,753,481,25516,3901,1283,2618
2021,East Sussex,E10000011,545847,11618,1421,1989,3124,506,4578,4497,2816,1104,577,12313,3959,1971,2893,3490,512437,482043,4425,871,518,24580,4982,1244,3738
2021,Essex,E10000012,1503521,56253,5005,7612,23024,6867,13745,37393,25324,7129,4940,36774,10431,5613,11079,9651,1358552,1279711,11861,1773,1395,63812,14549,2497,12052
2021,Gloucestershire,E10000013,645079,18464,1563,2212,8250,1716,4723,7777,3938,2627,1212,14149,4121,1714,5050,3264,600314,565811,4034,965,714,28790,4375,865,3510
2021,Hampshire,E10000014,1400899,52542,2618,6516,16836,3570,23002,14305,9048,3215,2042,26198,9500,3963,5869,6866,1296733,1231690,7760,2379,1035,53869,11121,1661,9460
2021,Hertfordshire,E10000015,1198798,103668,7329,8950,48433,17764,21192,44894,28555,10959,5380,45126,13990,5704,12639,12793,980061,861006,18747,1347,1973,96988,25049,4251,20798
2021,Kent,E10000016,1576069,69939,5334,7656,26440,4697,25812,41036,30410,5958,4668,36766,11939,5695,9151,9981,1409006,1311093,10850,5473,2255,79335,19322,2805,16517
2021,Lancashire,E10000017,1235351,100031,6550,4581,25232,57394,6274,7979,5229,1921,829,19947,7599,2660,5526,4162,1098595,1052299,6677,956,912,37751,8799,3002,5797
2021,Leicestershire,E10000018,712366,58066,3238,3570,42152,3936,5170,7913,5147,1950,816,15543,5566,1637,4925,3415,623429,595796,3790,598,389,22856,7415,1442,5973
2021,Lincolnshire,E10000019,768366,11927,732,2351,3925,1246,3673,4365,2897,952,516,10191,3114,1632,2856,2589,737532,685720,3127,958,691,47036,4351,819,3532
